hari_ke,tanggal,total_kasus,kasus_baru,total_kematian,kematian_baru,total_sembuh,sembuh_baru,kasus_aktif,DR,RR,CAR
297,23/12/2020,685639,7514,20408,151,558703,5981,106528,0.0298,0.8149,0.1554
298,24/12/2020,692838,7199,20589,181,563980,5277,108269,0.0297,0.8140,0.1563
299,25/12/2020,700097,7259,20847,258,570304,6324,108946,0.0298,0.8146,0.1556
300,26/12/2020,706837,6740,20994,147,576693,6389,109150,0.0297,0.8159,0.1544
301,27/12/2020,713365,6528,21237,243,583676,6983,108452,0.0298,0.8182,0.1520
302,28/12/2020,719219,5854,21452,215,589978,6302,107789,0.0298,0.8203,0.1499
303,29/12/2020,727122,7903,21703,251,596783,6805,108636,0.0298,0.8207,0.1494
304,30/12/2020,735124,8002,21944,241,603741,6958,109439,0.0299,0.8213,0.1489
305,31/12/2020,743198,8074,22138,194,611097,7356,109963,0.0298,0.8223,0.1480
306,01/01/2021,751270,8072,22329,191,617936,6839,111005,0.0297,0.8225,0.1478
307,02/01/2021,758473,7203,22555,226,625518,7582,110400,0.0297,0.8247,0.1456
308,03/01/2021,765350,6877,22734,179,631937,6419,110679,0.0297,0.8257,0.1446
309,04/01/2021,772103,6753,22911,177,639103,7166,110089,0.0297,0.8277,0.1426
310,05/01/2021,779548,7445,23109,198,645746,6643,110693,0.0296,0.8284,0.1420
311,06/01/2021,788402,8845,23296,187,652513,6767,112593,0.0295,0.8276,0.1428
312,07/01/2021,797723,9321,23520,224,659437,6924,114766,0.0295,0.8266,0.1439
313,08/01/2021,808340,10617,23753,233,666883,7446,117704,0.0294,0.8250,0.1456
314,09/01/2021,818386,10046,23947,194,673511,6628,120928,0.0293,0.8230,0.1478
315,10/01/2021,828026,9640,24129,182,681024,7513,122873,0.0291,0.8225,0.1484
